0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:25 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:25 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:25 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:25 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:25 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:27 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:27 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:27 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:20:27 -0300] "GET /Petshops/favicon.ico.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:58 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:58 -0300] "GET /Petshops/elstiloCadastrar.css HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:58 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:58 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:58 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:58 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:58 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:59 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:59 -0300] "GET /Petshops/elstiloCadastrar.css HTTP/1.1" 404 1119
